#No Name	Writer(s) Duration	AlbumId
1	Dark & Long	Hyde/Smith	7:35	1
2	Mmmâ€¦Skyscraper I Love You	Emerson/Hyde/Smith	13:08	1
3	Surfboy	Emerson/Hyde/Smith	7:33	1
4	Spoonman	Hyde/Smith	7:41	1
5	Tongue	Hyde/Smith	4:50	1
6	Dirty Epic	Hyde/Smith	9:55	1
7	Cowgirl	Hyde/Smith	8:29	1
8	River of Bass	Hyde/Smith	6:26	1
9	M.E.	Hyde/Smith	7:08	1

1	Juanita / Kiteless / To Dream of Love	Emerson/Hyde/Smith	16:36	2
2	Banstyle/Sappy's Curry	Emerson/Hyde/Smith	15:22	2
3	Confusion the Waitress	Emerson/Hyde/Smith	6:47	2
4	Rowla	Hyde/Smith	6:31	2
5	Pearl's Girl	Emerson/Hyde/Smith	9:36	2
6	Air Towel	Hyde/Smith	7:37	2
7	Blueski	Hyde/Smith	2:55	2
8	Stagger	Hyde/Smith	7:37	2
